School Abbreviation,School Name,School Country,School State,School City 
,Long Island Universityƒ??C.W. Post Campus,,,
,Long Island University at Riverhead,,,
,Long Island Universityƒ??Rockland Graduate Campus,,,
,Long Island Universityƒ??Westchester Graduate Campus,,,
,Longwood University,USA,VA,
,Loras College,USA,IA,
,Louisburg College,USA,NC,
,Louisiana College,USA,LA,
,Louisiana State University,USA,LA,
,Louisiana State Universityƒ??Alexandria,USA,LA,
,Louisiana State Universityƒ??Law Center,,,
,Louisiana State University Health Sciences Centerƒ??New Orleans,USA,LA,
,Louisiana State University Health Sciences Centerƒ??Shreveport,,,
,Louisiana State Universityƒ??Shreveport,USA,LA,
,Louisiana State University System,USA,LA,
,Louisiana Tech University,USA,LA,
,Louisville Presbyterian Theological Seminary,USA,KY,
,Lourdes College,USA,OH,
,Loyola University Maryland,USA,MD,
Loyola Marymount U.,Loyola Marymount University,USA,CA,Los Angeles
,Loyola University Chicago,USA,IL,
,Loyola University New Orleans,USA,LA,
,Lubbock Christian University,USA,TX,
,Luther College,USA,IA,
,Luther Seminary,USA,MN,
,Lutheran School of Theology at Chicago,USA,IL,
,Lycoming College,USA,PA,
,Lyme Academy College of Fine Arts,USA,CT,
,Lynchburg College,USA,VA,
,Lyndon State College,USA,VT,
,Lynn University,USA,FL,
,Lyon College,USA,AR,
,Naropa University,USA,CO,
,National American University,USA,SD,
,National College of Natural Medicine,USA,OR,
,National Defense Intelligence College,USA,DC,
,National Defense University,USA,DC,
,National Hispanic University,USA,CA,
,National Labor College,USA,MD,
,National-Louis University,USA,IL,
,National Theatre Conservatory,USA,CO,
,National University,USA,CA,
,National University of Health Sciences,USA,IL,
,Naval Postgraduate School,USA,CA,
,Nazarene Bible College,USA,CO,
,Nazareth College,USA,NY,
,Nebraska Christian College,USA,NE,
,Nebraska Methodist College,USA,NE,
,Nebraska Wesleyan University,USA,NE,
,Neumann College,USA,PA,
,New College of Florida,USA,FL,
,New England College,USA,NH,
,New England College of Optometry,USA,MA,
,New England Conservatory of Music,USA,MA,
,New England Institute of Technology,USA,RI,
,New Hope Christian College,USA,OR,
,New Jersey City University,USA,NJ,
,New Jersey Institute of Technology,USA,NJ,
,New Mexico Highlands University,USA,NM,
New Mexico Inst. Of Mining,New Mexico Institute of Mining & Technology,USA,NM,Socorro
,New Mexico State University,USA,NM,
,New Orleans Baptist Theological Seminary,USA,LA,
,The New School,USA,NY,
,New York Chiropractic College,USA,NY,
,New York College of Podiatric Medicine,USA,NY,
,New York Institute of Technology,USA,NY,
,New York Medical College,USA,NY,
New York U.,New York University,USA,NY,New York
,Newberry College,USA,SC,
,Newbury College,USA,MA,
,Newman University,USA,KS,
,Niagara University,USA,NY,
,Nichols College,USA,MA,
,Nicholls State University,USA,LA,
,Norfolk State University,USA,VA,
,North Carolina A&T State University,USA,NC,
,North Carolina Central University,USA,NC,
,North Carolina Wesleyan College,USA,NC,
,North Central University,USA,MN,
,North Central College,USA,IL,
,North Carolina State University,USA,NC,
,North Dakota State University,USA,ND,
,North Georgia College & State University,USA,GA,
,North Greenville University,USA,SC,
,North Park University,USA,IL,
,Northcentral University,USA,AZ,
,Northeastern Illinois University,USA,IL,
,Northeastern Ohio Universities College of Medicine,USA,OH,
,Northeastern State University,USA,OK,
,Northeastern State Universityƒ??Broken Arrow,USA,OK,
,Northeastern State Universityƒ??Muskogee,USA,OK,
Northeastern U.,Northeastern University,USA,MA,Boston
,Northern Arizona University,USA,AZ,
,Northern Baptist Theological Seminary,USA,IL,
,Northern Illinois University,USA,IL,
,Northern Kentucky University,USA,KY,
,Northern Michigan University,USA,MI,
,Northern New Mexico College,USA,NM,
,Northern State University,USA,SD,
,Northland College,USA,WI,
,Northwest Christian University,USA,OR,
,Northwest Florida State College,USA,FL,
,Northwest Missouri State University,USA,MO,
,Northwest Nazarene University,USA,ID,
,Northwest University,USA,WA,
,Northwestern College,USA,MN,
,Northwestern College,USA,IA,
,Northwestern Health Sciences University,USA,MN,
,Northwestern Oklahoma State University,USA,OK,
,Northwestern State University of Louisiana,USA,LA,
,Northwestern University,USA,IL,
,Northwood University,USA,FL,
,Northwood University,USA,MI,
,Northwood University,USA,TX,
,Norwich University,USA,VT,
,Notre Dame College,USA,OH,
,Notre Dame de Namur University,USA,CA,
,Notre Dame Seminary,USA,LA,
,Nova Southeastern University,USA,FL,
,Nyack College,USA,NY,
,Pace University,USA,NY,
,Pacific Lutheran University,USA,WA,
,Pacific Northwest College of Art,USA,OR,
,Pacific Oaks College,USA,CA,
,Pacific Union College,USA,CA,
,Pacific University,USA,OR,
,Pacifica Graduate Institute,USA,CA,
,Paine College,USA,GA,
,Palm Beach Atlantic University,USA,FL,
,Palm Beach State College,USA,FL,
,Palmer College of Chiropractic,USA,IA,
,Pardee RAND Graduate School,USA,CA,
,Park University,USA,MO,
,Parker College of Chiropractic,USA,TX,
,Patten College,USA,CA,
,Paul Quinn College,USA,TX,
,Paul Smith's College,USA,NY,
,Peace College,USA,NC,
,Peirce College,USA,PA,
,Pennsylvania College of Art & Design,USA,PA,
,Pennsylvania College of Technology,USA,PA,
Pennsylvania State U.,Pennsylvania State University,USA,PA,University Park
,Pennsylvania State Universityƒ??Abington,USA,PA,
,Pennsylvania State Universityƒ??Altoona,USA,PA,
,Pennsylvania State Universityƒ??Beaver,USA,PA,
,Pennsylvania State Universityƒ??Berks,USA,PA,
,Pennsylvania State Universityƒ??Brandywine,USA,PA,
,Pennsylvania State Universityƒ??Dickinson School of Law,USA,PA,
,Pennsylvania State Universityƒ??DuBois,USA,PA,
,Pennsylvania State Universityƒ??Erie; The Behrend College,USA,PA
,Pennsylvania State Universityƒ??Fayette; The Eberly Campus,USA,PA
,Pennsylvania State Universityƒ??Great Valley School of Graduate Professional Studies,USA,PA,
,Pennsylvania State Universityƒ??Greater Allegheny,USA,PA,
,Pennsylvania State Universityƒ??Harrisburg,USA,PA,
,Pennsylvania State Universityƒ??Hazleton,USA,PA,
,Pennsylvania State Universityƒ??Lehigh Valley,USA,PA,
,Pennsylvania State Universityƒ??Milton S. Hershey Medical Center,USA,PA,
,Pennsylvania State Universityƒ??Mont Alto,USA,PA,
,Pennsylvania State Universityƒ??New Kensington,USA,PA,
,Pennsylvania State Universityƒ??Schuylkill,USA,PA,
,Pennsylvania State Universityƒ??Shenango,USA,PA,
,Pennsylvania State Universityƒ??Wilkes-Barre,USA,PA,
,Pennsylvania State Universityƒ??Worthington Scranton,USA,PA,
,Pennsylvania State Universityƒ??York,USA,PA,
,Pensacola State College,USA,FL,
,Pentecostal Theological Seminary,USA,TN,
Pepperdine U.,Pepperdine University,USA,CA,Malibu
,Peru State College,USA,NE,
,Pfeiffer University,USA,NC,
,Philadelphia Biblical University,USA,PA,
,Philadelphia College of Textiles & Science,USA,PA,
,Philander Smith College,USA,AR,
,Phillips Theological Seminary,USA,OK,
,Phillips University,USA,OK,
,Piedmont Baptist College,USA,NC,
,Piedmont College,USA,GA,
,Pikeville College,USA,KY,
,Pine Manor College,USA,MA,
,Pittsburg State University,USA,KS,
,Pittsburgh Theological Seminary,USA,PA,
,Platt College,USA,MO,
,Plymouth State University,USA,NH,
,Point Loma Nazarene University,USA,CA,
,Point Park University,USA,PA,
,Polk State College,USA,FL,
,Polytechnic University of New York,USA,NY,
,Polytechnic University of Puerto Rico,USA,PR,
,Ponce School of Medicine,USA,PR,
,Pontificia Universidad Cat??lica de Puerto Rico,USA,PR,
,Portland State University,USA,OR,
,Post University,USA,CT,
,Potomac College,USA,DC,
,Prairie View A&M University,USA,TX,
,Pratt Institute,USA,NY,
,Prescott College,USA,AZ,
,Presentation College,USA,SD,
,Princeton University,USA,NJ,
,Principia College,USA,IL,
,Presbyterian College,USA,SC,
,Providence College,USA,RI,
Purdue U.,Purdue University,USA,IN,West Lafayette
,Purdue Universityƒ??Calumet,USA,IN,
,Purdue Universityƒ??North Central,USA,IN,
,Purdue University College of Technologyƒ??Anderson/Muncie,USA,IN,
,Purdue University College of Technologyƒ??Columbus/Greensburg,USA,IN,
,Purdue University College of Technologyƒ??Indianapolis,USA,IN,
,Purdue University College of Technologyƒ??Kokomo,USA,IN,
,Purdue University College of Technologyƒ??Lafayette,USA,IN,
,Purdue University College of Technologyƒ??New Albany,USA,IN,
,Purdue University College of Technologyƒ??Richmond,USA,IN,
,Purdue University College of Technologyƒ??South Bend/Elkhart,USA,IN,
,Sacred Heart Major Seminary,USA,MI,
,Sacred Heart University,USA,CT,
,The Sage Colleges,USA,NY,
,Saginaw Valley State University,USA,MI,
,Saint Ambrose University,USA,IA,
,Saint Andrews Presbyterian College,USA,NC,
,Saint Anselm College,USA,NH,
,Saint Anthony College of Nursing,USA,IL,
,Saint Augustine College,USA,IL,
,Saint Augustine's College,USA,NC,
,Saint Bonaventure University,USA,NY,
,Saint Catharine College,USA,KY,
,Saint Cloud State University,USA,MN,
,Saint Edward's University,USA,TX,
,Saint Francis College,USA,NY,
,Saint Francis Medical Center College of Nursing,USA,IL,
,Saint Francis University,USA,PA,
,Saint Gregory's University,USA,OK,
,Saint John Fisher College,USA,NY,
,Saint John Vianney College Seminary,USA,FL,
,Saint John's Collegeƒ??Annapolis,USA,MD,
,Saint John's Collegeƒ??Santa Fe,USA,NM,
,Saint John's College,USA,IL,
,Saint John's University,USA,MN,
,Saint John's University,USA,NY,
,Saint Johns River State College,USA,FL,
,Saint Joseph College,USA,CT,
,Saint Joseph Seminary College,USA,LA,
,Saint Joseph's College,USA,IN,
,Saint Joseph's College,USA,ME,
,Saint Joseph's College,USA,NY,
,Saint Joseph's University,USA,PA,
,Saint Lawrence University,USA,NY,
,Saint Leo University,USA,FL,
,Saint Louis College of Pharmacy,USA,MO,
,Saint Louis University,USA,MO,
,Saint Luke's College of Health Sciences,USA,MO,
,Saint Martin's University,USA,WA,
,Saint Mary-of-the-Woods College,USA,IN,
,Saint Mary's College,USA,IN,
,Saint Mary's College of California,USA,CA,
,Saint Mary's College of Maryland,USA,MD,
,Saint Mary's Seminary & University,USA,MD,
,Saint Mary's University of Minnesota,USA,MN,
,Saint Mary's University of San Antonio,USA,TX,
,Saint Meinrad Seminary & School of Theology,USA,IN,
,Saint Michael's College,USA,VT,
,Saint Norbert College,USA,WI,
,Saint Olaf College,USA,MN,
,Saint Paul School of Theology,USA,MO,
,Saint Paul's College,USA,VA,
,Saint Peter's College,USA,NJ,
,Saint Petersburg College,USA,FL,
,Saint Thomas Aquinas College,USA,NY,
,Saint Thomas University,USA,FL,
,Saint Vincent College,USA,PA,
,Saint Vincent de Paul Regional Seminary,USA,FL,
,Saint Vincent's College,USA,CT,
,Saint Xavier University,USA,IL,
,Salem College,USA,NC,
,Salem International University,USA,WV,
,Salem State College,USA,MA,
,Salisbury University,USA,MD,
,Salish Kootenai College,USA,MT,
,Salus University,USA,PA,
,Salve Regina University,USA,RI,
,Sam Houston State University,USA,TX,
,Samford University,USA,AL,
,Samuel Merritt College,USA,CA,
,San Diego Christian College,USA,CA,
,San Diego State University,USA,CA,
,San Francisco Art Institute,USA,CA,
,San Francisco State University,USA,CA,
,San Jos?? State University,USA,CA,
,Santa Clara University,USA,CA,
,Santa Fe College,USA,FL,
,Santa Fe University of Art & Design,USA,NM,
,Sarah Lawrence College,USA,NY,
,Savannah College of Art & Design,USA,GA,
,Savannah State University,USA,GA,
,Saybrook University,USA,CA,
,School for International Training,USA,VT,
,School of the Art Institute of Chicago,USA,IL,
,School of Visual Arts,USA,NY,
,Schreiner University,USA,TX,
,Seabury-Western Theological Seminary,USA,IL,
,Seattle Pacific University,USA,WA,
,Seattle University,USA,WA,
,Seminario Evang??lico de Puerto Rico,USA,PR,
,Seminary of the Southwest,USA,TX,
,Seminole State College of Florida,USA,FL,
,Seton Hall University,USA,NJ,
,Seton Hill College,USA,PA,
,Shaw University,USA,NC,
,Shawnee State University,USA,OH,
,Shenandoah University,USA,VA,
,Shepherd University,USA,WV,
,Sherman College of Chiropractic,USA,SC,
,Shimer College,USA,IL,
,Shippensburg University of Pennsylvania,USA,PA,
,Shorter College,USA,GA,
